age_group,gender,employment_status,income_bracket_aed,fitness_goal,workouts_per_week,diet_style,allergy_flags,orders_per_week,avg_spend_aed,preferred_meal_time,subscribe_intent,meals_per_week_sub,max_budget_aed,nutrition_tracking_importance,customization_level,spice_level,pause_likelihood,fav_add_ons,eco_pack_score,distance_km,diet_change_freq,nps_intent
2,1,3,2,2,3,1,None,4,72.5,1,3,5,1188.0,4,3,3,3,Soup,3,2,1,0
1,1,2,2,1,2,4,None,3,80.9,4,3,3,1152.0,5,2,3,4,Protein shake,4,2,0,4
4,3,2,3,4,2,1,None,4,85.3,3,3,5,1869.0,5,2,3,3,Protein shake,5,1,1,2
1,1,1,1,3,6,1,Soy,4,48.5,1,4,6,1031.0,5,3,2,3,"Protein shake,Side salad",4,3,0,10
5,2,2,2,1,1,1,Nuts,3,65.5,1,3,2,473.0,5,2,4,4,None,4,2,2,7
3,2,5,3,2,3,5,"Gluten,Dairy",6,58.8,3,3,6,1689.0,4,3,4,4,"Protein shake,Side salad,Soup",5,4,0,7
1,2,2,3,2,7,5,"Nuts,Soy",5,86.1,4,3,5,1907.0,4,2,1,2,"Protein shake,Side salad",5,3,2,7
1,1,2,2,1,6,5,None,12,45.8,3,1,13,2311.0,2,1,3,4,Protein shake,2,1,0,5
4,1,2,3,4,4,1,None,5,84.9,3,2,6,1799.0,3,2,2,3,None,5,1,0,0
3,2,2,3,2,8,1,"Nuts,Soy",5,69.3,4,1,6,1357.0,3,1,2,5,Side salad,4,1,1,0
3,2,1,2,3,3,1,None,3,77.5,4,2,2,662.0,4,1,3,5,None,4,3,0,6
3,2,2,4,1,1,1,None,9,94.4,3,3,9,3000.0,4,2,2,2,Protein shake,5,3,2,5
1,1,2,3,2,6,1,Gluten,5,92.3,3,3,4,1245.0,4,3,3,3,None,4,2,3,5
2,1,2,3,1,0,1,Shellfish,8,90.4,1,2,7,2027.0,4,1,3,3,None,4,1,3,1
1,2,2,2,3,2,1,None,6,80.5,3,2,7,2125.0,3,1,3,4,None,4,2,1,0
4,2,2,3,2,5,5,"Gluten,Nuts,Shellfish,Soy",3,81.5,4,2,5,1739.0,2,3,2,4,None,5,2,1,6
3,2,5,1,3,4,4,None,3,60.5,3,3,4,1132.0,5,2,3,2,"Dessert pot,Side salad",4,4,2,3
2,1,2,2,1,2,1,"Gluten,Soy",4,82.3,3,3,4,1517.0,5,2,3,3,Dessert pot,3,1,0,4
1,2,2,3,1,5,2,Gluten,9,80.1,3,3,11,3000.0,3,3,5,2,None,4,2,1,3
2,2,2,2,1,1,5,Gluten,8,62.8,3,3,8,2262.0,4,3,3,4,None,5,2,0,0
2,2,2,2,1,0,1,None,7,68.6,4,3,7,1810.0,3,3,4,4,Dessert pot,2,1,0,6
3,1,3,2,3,3,4,Dairy,5,70.9,1,2,7,1783.0,3,3,5,4,Dessert pot,1,1,1,4
3,1,2,5,2,6,7,None,15,92.3,3,3,16,3000.0,4,2,3,2,Dessert pot,4,2,0,8
4,2,3,1,3,6,5,Nuts,6,58.0,3,4,7,1417.0,5,2,2,3,Protein shake,4,2,0,6
2,1,1,2,2,3,4,Soy,4,61.8,4,3,6,1758.0,4,2,4,3,Protein shake,4,2,2,0
1,1,2,2,1,1,3,"Dairy,Shellfish",3,68.2,3,1,2,639.0,2,2,4,5,"Dessert pot,Side salad",3,3,0,4
3,2,3,1,1,1,4,None,4,51.9,2,3,4,680.0,4,2,4,2,Dessert pot,5,3,0,5
3,1,2,3,1,2,1,None,3,72.1,3,2,2,570.0,4,1,5,4,None,3,2,0,0
2,2,2,3,3,2,4,Dairy,3,67.5,3,3,3,769.0,5,2,2,3,Soup,2,2,1,9
3,1,2,3,3,2,1,Gluten,3,95.3,2,3,3,1213.0,4,2,3,3,None,3,3,1,0
2,2,3,4,1,4,5,Shellfish,5,95.2,2,3,5,1773.0,4,2,3,3,Dessert pot,2,2,0,5
2,3,1,1,1,2,1,Dairy,5,71.3,2,2,4,1041.0,3,2,3,4,"Side salad,Soup",5,1,0,0
2,1,4,1,3,4,1,None,4,43.7,2,3,6,1179.0,4,3,4,4,"Protein shake,Dessert pot",4,2,1,5
1,1,2,4,3,4,3,Gluten,5,109.8,3,3,7,3000.0,4,2,2,3,"Dessert pot,Soup",5,3,0,4
1,1,4,3,3,5,1,None,3,71.0,3,3,2,500.0,5,1,3,4,Dessert pot,4,2,2,4
1,1,2,3,2,6,1,None,4,71.9,3,1,3,771.0,3,1,5,5,Soup,4,1,0,0
3,2,3,3,1,2,2,None,1,100.5,1,2,3,1167.0,4,1,2,4,Protein shake,2,4,2,4
2,2,2,2,4,0,1,None,10,66.6,4,3,11,3000.0,3,3,2,3,Protein shake,1,2,2,10
2,1,4,4,3,6,3,None,9,88.5,3,2,11,3000.0,3,2,3,3,Side salad,4,2,3,5
4,1,1,1,1,2,2,"Gluten,Shellfish",3,38.1,3,4,4,602.0,5,3,2,1,None,3,2,1,8
1,1,2,2,3,2,1,Shellfish,12,70.5,1,2,14,3000.0,4,1,2,3,"Protein shake,Soup",4,2,2,5
2,2,2,2,3,4,1,None,10,59.2,3,3,9,1904.0,4,3,3,4,"Protein shake,Side salad",5,2,0,9
3,1,1,2,1,4,1,None,5,78.2,3,2,6,1537.0,2,3,2,3,None,3,2,0,5
1,2,2,2,2,4,5,None,8,76.5,3,3,9,3000.0,4,3,3,4,"Protein shake,Dessert pot",5,1,1,7
1,2,5,2,1,1,1,Gluten,6,71.9,3,3,5,1603.0,4,2,2,4,Side salad,3,2,0,0
2,2,5,3,1,2,5,Nuts,5,85.3,2,3,5,1842.0,4,3,4,4,Protein shake,3,1,1,6
1,1,2,3,3,3,1,None,6,79.5,3,3,7,1859.0,4,3,3,3,None,4,2,0,3
4,2,5,2,1,2,2,"Gluten,Nuts",5,69.1,1,4,4,1282.0,5,3,4,3,Protein shake,3,1,2,10
4,1,2,3,3,4,3,None,5,68.2,4,1,5,1258.0,3,1,2,4,Side salad,4,2,2,1
3,1,2,3,4,2,1,Soy,5,89.5,3,3,6,1900.0,5,2,2,2,"Protein shake,Soup",4,2,0,9
4,2,3,2,1,2,1,None,3,91.6,4,3,2,729.0,5,1,3,2,None,4,3,2,2
4,2,2,4,2,9,2,None,7,88.1,1,3,9,3000.0,3,3,1,2,None,3,2,0,9
1,1,5,4,3,2,1,None,3,93.0,3,4,5,2228.0,5,3,4,3,"Dessert pot,Side salad",3,1,3,10
4,1,2,5,3,1,2,None,3,111.5,3,3,5,2332.0,5,2,2,2,Dessert pot,5,1,0,8
2,1,2,4,3,4,3,None,6,107.1,2,3,8,3000.0,4,3,2,4,Dessert pot,2,2,1,7
4,1,1,2,1,1,1,"Shellfish,Soy",9,86.5,3,3,9,3000.0,3,3,4,3,"Dessert pot,Side salad",5,2,0,9
4,1,1,1,2,6,4,Shellfish,8,39.9,3,3,9,1166.0,4,2,3,2,None,5,2,0,6
2,1,1,2,2,6,7,None,5,94.7,4,2,7,2414.0,3,2,1,5,Soup,5,3,0,6
1,1,5,3,4,0,6,None,11,59.9,2,2,13,2868.0,2,2,3,5,None,3,2,0,5
1,2,4,3,1,0,1,None,6,97.6,3,3,5,2173.0,4,3,3,4,Soup,5,2,2,5
2,2,3,5,4,3,1,"Dairy,Shellfish",6,105.4,4,2,5,1791.0,4,1,3,3,Soup,4,2,0,9
4,2,2,3,1,5,2,None,3,96.5,3,3,4,1343.0,4,3,2,2,Dessert pot,4,3,0,7
4,1,2,4,4,0,1,None,1,95.3,3,2,3,1196.0,3,2,4,3,Side salad,5,2,0,3
1,2,2,3,3,5,1,None,4,83.7,2,2,3,856.0,3,3,2,5,None,2,1,0,7
2,2,2,5,2,3,1,None,3,70.1,4,3,3,840.0,5,1,3,4,Dessert pot,1,2,1,10
2,2,2,2,3,0,1,None,4,94.4,1,3,3,922.0,4,2,4,3,"Protein shake,Soup",3,1,0,0
1,2,3,3,1,4,3,None,2,83.2,4,4,3,1066.0,5,3,2,3,Protein shake,4,3,0,8
1,2,2,3,1,4,2,Nuts,3,87.5,3,2,5,2036.0,3,2,1,5,Protein shake,5,1,3,2
2,2,1,1,1,2,1,None,4,68.8,4,3,4,1266.0,5,2,4,3,"Protein shake,Soup",5,2,1,10
4,1,1,2,1,2,2,None,5,67.7,3,3,4,898.0,4,3,3,2,Side salad,5,1,0,10
2,2,1,1,1,3,3,None,7,54.2,4,2,6,1348.0,3,2,3,5,Protein shake,4,2,0,0
2,2,2,3,3,1,3,Nuts,2,89.5,3,3,4,1205.0,4,2,3,3,None,4,3,3,6
3,2,5,1,3,5,7,None,9,73.3,3,4,9,2168.0,5,2,2,3,Protein shake,2,3,1,5
2,2,2,2,1,2,7,"Dairy,Soy",4,80.8,2,2,4,1350.0,3,3,3,4,None,5,1,0,0
5,1,4,4,3,1,2,None,6,85.8,3,3,7,2472.0,4,3,2,2,"Protein shake,Soup",4,2,2,1
5,1,2,3,3,7,5,None,3,80.3,3,3,2,538.0,5,1,2,4,"Side salad,Soup",3,2,2,5
2,2,2,2,4,1,1,"Shellfish,Soy",7,76.8,2,4,7,2030.0,5,3,3,2,Protein shake,2,1,1,5
2,2,1,3,3,2,2,None,5,74.5,3,3,7,1933.0,4,2,4,2,Side salad,5,3,0,6
2,2,4,3,1,1,4,Dairy,8,92.4,3,1,7,2424.0,2,1,4,5,None,4,3,0,1
2,1,3,3,2,5,5,None,10,89.7,3,3,12,3000.0,4,3,2,3,Dessert pot,4,2,1,6
1,1,2,2,3,6,1,Soy,5,70.5,3,3,4,1274.0,4,2,4,4,Dessert pot,3,1,0,7
3,2,2,3,1,12,1,None,5,98.4,2,3,4,1482.0,4,2,3,2,Protein shake,4,2,0,5
2,2,2,2,1,0,1,Gluten,5,68.2,1,3,6,1526.0,5,1,3,4,None,3,1,0,9
1,2,2,2,1,1,4,Gluten,3,75.5,1,4,5,1226.0,5,3,5,1,None,4,3,0,10
2,1,5,2,1,1,7,"Dairy,Soy",6,75.0,3,3,8,2679.0,3,3,3,4,"Dessert pot,Soup",3,4,0,4
4,2,2,3,2,4,1,Dairy,6,86.7,2,2,8,2952.0,4,1,3,3,"Protein shake,Side salad,Soup",3,1,1,10
1,1,2,2,2,2,6,"Dairy,Nuts",4,79.8,3,2,3,897.0,3,2,3,4,"Protein shake,Side salad,Soup",5,2,0,2
1,2,1,1,1,2,1,Nuts,1,66.0,3,3,2,518.0,4,2,3,2,Side salad,4,1,0,3
2,1,1,1,3,4,6,None,4,76.6,3,2,6,2055.0,4,1,4,4,None,5,1,0,7
5,1,2,2,2,7,5,None,4,82.2,3,2,6,1850.0,3,3,3,4,None,5,2,1,1
1,2,1,1,1,2,1,None,5,46.3,3,3,7,1283.0,4,3,3,4,"Dessert pot,Soup",4,2,0,6
3,2,3,4,1,4,1,None,7,110.7,1,2,6,2146.0,2,3,3,3,"Dessert pot,Soup",5,1,0,3
3,1,3,3,1,4,1,None,6,75.9,3,2,7,2481.0,4,1,3,5,"Protein shake,Side salad,Soup",5,4,0,5
1,2,1,2,2,8,7,Dairy,4,68.3,1,2,5,1296.0,3,2,3,3,None,3,1,1,3
3,1,4,3,1,0,2,"Dairy,Nuts",5,99.4,3,3,4,1461.0,5,1,2,2,None,4,2,1,7
2,1,2,4,2,6,5,None,5,87.8,2,2,7,2566.0,3,2,2,5,None,5,2,2,0
3,1,2,4,3,4,1,"Dairy,Shellfish,Soy",2,83.8,3,2,3,1016.0,3,3,2,3,Dessert pot,4,4,3,3
3,1,2,4,2,2,6,None,4,84.0,3,2,5,1613.0,4,1,4,5,Protein shake,3,3,3,5
2,2,2,2,1,2,1,Dairy,20,55.8,1,2,21,3000.0,2,2,4,4,None,5,2,2,5
1,1,2,5,1,2,1,None,4,113.7,1,2,3,1290.0,3,2,3,4,Soup,4,3,2,0
4,2,2,4,3,3,1,None,4,86.3,2,3,6,2484.0,4,2,4,2,None,5,3,0,5
2,2,2,4,3,2,1,"Gluten,Nuts",7,68.0,3,1,7,2124.0,1,1,2,5,"Protein shake,Side salad",3,2,2,2
1,1,5,1,3,14,1,None,3,56.8,3,1,3,792.0,3,1,4,4,None,3,1,0,0
1,2,1,1,2,4,5,None,3,87.3,2,1,2,638.0,1,2,2,5,Soup,4,3,0,3
2,1,1,1,2,8,1,None,4,66.5,2,2,6,1322.0,3,2,1,3,None,4,1,0,3
3,2,1,1,2,0,4,None,7,72.6,3,3,9,2529.0,4,3,1,3,Side salad,2,2,0,4
1,1,2,4,3,5,1,None,7,103.2,4,2,8,3000.0,4,1,3,4,"Protein shake,Side salad",3,3,0,5
2,1,1,1,1,2,1,None,2,42.9,3,1,4,566.0,3,1,4,5,"Dessert pot,Side salad,Soup",3,2,0,0
1,1,4,1,4,1,1,None,3,69.8,3,2,2,463.0,2,3,4,5,Soup,5,1,1,6
3,1,2,3,3,5,4,None,4,73.0,3,1,6,1524.0,2,1,3,5,Dessert pot,5,1,3,3
1,1,2,2,3,1,1,None,4,69.2,2,1,4,1053.0,2,2,1,5,"Protein shake,Soup",4,1,0,0
3,2,2,2,1,1,1,None,5,50.6,4,1,5,1188.0,2,2,1,5,Soup,4,1,1,1
2,2,2,3,3,2,3,None,2,73.6,1,1,3,939.0,2,1,4,5,"Dessert pot,Side salad",4,1,0,3
4,2,2,3,2,3,1,Gluten,7,66.1,3,2,9,2283.0,2,2,2,4,"Side salad,Soup",4,2,1,1
1,2,2,1,1,1,3,None,4,62.4,4,3,3,838.0,4,3,4,4,Side salad,5,1,1,3
2,1,2,2,1,1,1,None,9,97.1,3,4,9,3000.0,5,2,1,3,Dessert pot,4,4,0,6
1,1,2,2,3,1,1,Dairy,5,80.4,2,3,4,1244.0,5,2,2,4,None,5,1,0,0
4,1,1,1,2,12,5,Nuts,8,66.1,3,2,8,1814.0,3,2,2,5,Protein shake,3,1,2,2
4,1,5,2,2,3,1,None,7,53.1,3,3,7,1741.0,3,3,2,2,"Side salad,Soup",4,1,0,8
2,2,1,2,1,3,1,None,4,54.2,4,1,4,910.0,1,1,3,4,Protein shake,4,1,0,3
3,2,4,4,3,5,4,None,7,57.5,3,2,6,1346.0,3,1,2,5,None,3,4,0,0
4,1,3,3,3,3,1,None,6,73.2,3,2,5,1428.0,4,1,5,3,"Protein shake,Soup",4,2,0,0
2,1,2,1,3,6,2,None,10,56.2,3,4,12,2984.0,5,2,1,2,None,5,2,2,10
2,2,1,3,2,1,6,Gluten,8,76.6,3,4,9,2404.0,5,2,4,1,"Protein shake,Dessert pot,Soup",2,3,0,6
1,2,1,2,2,3,5,Shellfish,3,65.4,3,3,5,1265.0,4,2,3,4,Protein shake,5,2,2,4
1,1,2,4,2,5,1,"Gluten,Shellfish",3,71.4,1,3,2,471.0,4,2,2,4,"Dessert pot,Side salad,Soup",4,2,1,0
4,2,2,1,1,0,3,"Gluten,Nuts,Shellfish",6,62.9,3,2,8,1675.0,2,3,2,4,Dessert pot,4,2,0,4
4,2,3,4,4,0,1,None,2,117.2,4,3,1,474.0,4,2,3,4,Protein shake,4,3,0,6
3,1,5,3,2,3,1,Shellfish,5,176.2,3,3,5,3000.0,4,3,2,4,"Protein shake,Side salad",4,2,1,5
2,1,2,4,1,1,5,"Gluten,Shellfish",6,72.6,1,3,7,2211.0,4,2,3,4,"Side salad,Soup",5,2,0,8
2,2,2,1,2,4,1,"Gluten,Dairy,Nuts",3,30.0,2,3,4,573.0,4,2,3,4,"Dessert pot,Side salad",5,1,3,5
3,2,2,4,3,6,1,Gluten,6,101.3,3,4,5,2317.0,5,3,3,3,Side salad,5,2,3,7
4,2,4,5,1,1,1,None,3,112.7,3,3,5,2202.0,4,3,3,4,Soup,1,2,0,6
4,1,2,4,1,2,7,Soy,8,70.7,3,3,7,1883.0,4,3,2,2,Side salad,4,1,0,3
3,1,1,1,3,3,1,"Gluten,Soy",20,46.9,1,3,19,3000.0,3,3,4,4,None,4,2,1,10
3,2,3,4,1,3,1,None,5,95.6,3,2,4,1280.0,3,2,2,4,None,4,1,0,5
1,2,2,2,3,2,2,None,6,87.9,3,1,5,2101.0,1,3,2,4,"Dessert pot,Side salad",4,1,0,6
1,1,5,2,1,1,3,None,6,65.4,2,3,7,2184.0,3,3,2,4,None,4,4,1,5
4,2,2,3,3,2,1,Shellfish,4,81.2,1,2,5,1899.0,4,1,2,3,Side salad,4,3,0,0
3,2,1,3,1,2,6,Gluten,3,81.2,3,3,5,1729.0,4,2,3,4,None,4,4,0,6
1,2,5,1,1,2,1,None,7,59.7,3,3,8,1913.0,4,2,3,4,None,1,4,1,10
1,2,2,3,3,3,1,"Gluten,Shellfish",5,69.5,3,3,5,1505.0,5,1,2,2,Protein shake,5,4,2,7
3,2,2,4,2,1,1,Gluten,1,92.5,3,2,1,343.0,3,2,1,3,None,5,2,0,5
1,1,2,3,2,6,5,None,8,79.6,3,2,7,2543.0,4,1,1,4,"Protein shake,Soup",4,2,0,3
1,2,1,1,1,1,1,None,8,52.3,4,2,8,1429.0,4,1,3,3,"Dessert pot,Soup",4,1,0,4
2,1,2,4,3,3,5,None,6,113.6,3,2,7,3000.0,3,2,4,5,None,4,2,1,0
3,2,1,3,2,4,7,Dairy,1,63.0,3,1,1,289.0,3,1,3,5,None,3,2,0,0
3,1,2,2,4,1,1,Dairy,6,92.1,4,3,6,1919.0,4,3,4,3,None,4,1,1,4
1,2,2,2,4,1,7,None,3,75.5,4,4,5,1497.0,5,3,2,1,None,4,3,0,3
3,1,3,1,3,8,1,Shellfish,3,200.0,3,2,4,3000.0,2,3,2,3,"Dessert pot,Soup",1,1,1,5
1,1,4,3,2,13,4,Dairy,5,67.3,4,4,4,1275.0,5,3,4,2,None,2,3,3,5
2,1,2,3,2,4,5,Nuts,2,79.7,1,3,1,359.0,4,3,4,2,Protein shake,2,2,2,6
3,1,2,5,3,4,3,None,2,75.7,2,3,3,1069.0,4,2,3,2,None,3,3,0,5
3,2,2,4,1,0,5,None,3,85.7,2,3,4,1611.0,5,1,4,2,"Protein shake,Side salad",2,1,0,6
4,2,2,2,1,1,2,None,3,77.5,3,2,5,1847.0,3,2,3,3,None,3,2,1,0
3,2,3,1,1,3,6,"Nuts,Shellfish",7,30.0,3,1,7,811.0,1,3,3,5,"Dessert pot,Soup",1,1,0,3
2,1,3,2,1,0,5,None,10,71.7,3,2,11,2886.0,2,2,3,3,None,5,1,0,0
1,1,2,3,1,4,1,Shellfish,7,67.5,4,2,8,2275.0,3,2,3,4,None,2,1,0,3
2,1,2,2,2,3,6,"Shellfish,Soy",5,77.4,2,3,7,1897.0,5,1,3,3,Soup,5,3,1,10
2,1,1,2,3,2,6,None,3,79.2,3,1,4,1296.0,1,1,2,5,Dessert pot,2,3,2,7
1,2,2,4,2,2,4,"Gluten,Nuts",5,81.7,3,3,4,1349.0,5,1,5,2,Side salad,3,1,3,4
5,1,1,1,1,2,4,None,7,54.6,3,3,9,2207.0,4,3,5,4,Soup,5,1,2,5
2,1,5,3,1,2,5,None,4,90.2,3,1,5,1704.0,2,2,2,5,Side salad,3,3,1,2
4,1,3,2,2,3,5,Shellfish,6,67.5,3,2,7,1967.0,3,2,3,4,Side salad,4,2,2,5
3,1,2,4,1,3,1,Gluten,10,101.7,3,2,9,3000.0,4,1,4,5,None,3,2,2,0
3,2,2,3,3,3,3,None,5,88.3,4,2,4,1369.0,4,1,1,4,"Protein shake,Dessert pot,Side salad,Soup",5,2,3,0
2,2,4,2,4,0,7,None,3,78.3,4,2,5,1611.0,3,2,2,3,"Side salad,Soup",1,2,0,2
2,1,2,4,1,1,1,Soy,3,88.3,3,3,2,788.0,5,1,3,3,Protein shake,3,3,0,6
2,1,2,2,1,1,5,Nuts,1,75.8,2,2,1,273.0,2,3,1,3,None,4,1,0,3
1,1,2,3,2,3,4,None,6,82.1,4,3,5,1381.0,4,3,4,4,Soup,5,2,3,3
3,1,4,3,4,0,1,Gluten,3,88.1,3,2,4,1512.0,4,1,4,5,None,4,3,1,7
2,1,2,1,3,4,1,None,6,60.4,3,4,7,1604.0,5,3,4,2,None,5,3,0,10
